Frame Number,bubblegum,mumbathon,gaze-distance_bubblegum_mumbathon
0,"0.2644232245395385, 0.9755188181327694","0.10442337195954544, 0.8592076863998183",0.19780857461348694
1,"0.251286887217, 0.945758567304","0.1020861384475, 0.861082732032",0.17155424947342554
2,"0.242298014365, 0.9304414128899999","0.102014712289, 0.8582946411705",0.15774841207090454
3,"0.23612688344799998, 0.9205125771734999","0.102538924346, 0.85475472455",0.14889539280545772
4,"0.23495942688049998, 0.9174977076890001","0.10422728881249999, 0.858147716148",0.1435733729482852
5,"0.2344103051545, 0.9184530471904999","0.106449751599, 0.8570654160935001",0.14192372781861154
6,"0.232315644446, 0.919648726359","0.10489834255466667, 0.8557363846723334",0.14254808396165974
7,"0.231478024118, 0.9163882991786667","0.1050771338475, 0.855501726437",0.1403009615127468
8,"0.23189660599300002, 0.916505587368","0.1035754817315, 0.853073286326",0.1431431721990897
9,"0.2301459376175, 0.92008005494","0.10180714613799999, 0.8497867479035",0.14632837869854998
10,"0.230632794704, 0.9186381235245","0.10127291842, 0.853148015011",0.14499286846366546
11,"0.230971834715, 0.916526930756","0.09978959007373334, 0.8486020382566665",0.14772465038092714
12,"0.230774738742, 0.9162707253655","0.09731231160215001, 0.8427971005655",0.152350231372686
13,"0.2306200228885, 0.9123381669985","0.0991259542482, 0.8431518123389999",0.14858479652592338
14,"0.2255653858515, 0.921616034595","0.09976804781376668, 0.839070760597",0.1504615981464527
15,"0.21632055250499999, 0.9172895507365","0.10157629457100001, 0.8326743442260001",0.1425692039033636
16,"0.21568644574899998, 0.890375059364","0.09984030095433334, 0.8355784489773334",0.12815224451274743
17,"0.2112046568805, 0.87275845943","0.1017842521755, 0.837008708428",0.1151124218427837
18,"0.208517852093, 0.8689881147105","0.101271545381, 0.8422150875855001",0.11053761931939893
19,"0.20823531339200002, 0.8629847355035","0.08839940375665001, 0.821316687251",0.12687344672272619
20,"0.2075425553045, 0.8594193125280001","0.0524544128984, 0.762841015463",0.1827011203549397
21,"0.1926667806795, 0.8683320228214999","0.051486773542950004, 0.73603949287",0.19347637555020716
22,"0.2219641032265, 0.8885206548715001","0.05667359631866667, 0.7177291948713332",0.23767766929780573
23,"0.2375406801935, 0.8936928257604999","0.05578903286985, 0.7110530582379999",0.25766440574036087
24,"0.239733107001, 0.9154163979059999","0.0552892756161, 0.700398751845",0.2832880425530786
25,"0.239579779406, 0.920737287309","0.053281354068200004, 0.6898192645129999",0.2966988987767865
26,"0.2377071015515, 0.9268615515395","0.05293399229615, 0.6873768744105",0.30247977202363613
27,"0.23591155307099998, 0.9276125216660001","0.05174360403029999, 0.6882538810913333",0.3020105830457111
28,"0.2202888846355, 0.8970881379060001","0.05184393460525, 0.688918675551",0.26778391708215643
29,"0.2128580071415, 0.8830792370485001","0.05205190050875, 0.6867826571994999",0.25375372153093295
30,"0.2090007364, 0.8760487523155001","0.0528968713717, 0.688514929592",0.24400276912785812
31,"0.213281994678, 0.8854749486915001","0.05133032083025, 0.6806597954120001",0.26110839066371094
32,"0.214688806914, 0.8910689568985","0.043745797981933336, 0.6574548392943332",0.2894772326914883
33,"0.210726037534, 0.8819424842825","0.03596229095205, 0.6472128721625",0.29264373891365875
34,"0.2071452948645, 0.8803541017075001","0.0322002751656, 0.643825795085",0.2941961926183884
35,"0.20560122864250002, 0.875327709561","0.032417589364499996, 0.641990828263",0.29058333243228074
36,"0.2045019852805, 0.877159011122","0.03194623954675, 0.64733371421",0.2873937238118111
37,"0.20420946649650001, 0.8740506587920001","0.028957058647500002, 0.6501838712895001",0.2843057245353349
38,"0.20348383877499998, 0.8721467808819999","0.027218501965833333, 0.6515308514226666",0.2823842369744715
39,"0.20134115258399998, 0.870262592752","0.02392185593895, 0.6545273195095",0.27931937802995405
40,"0.199660544412, 0.868966391332","0.024993977891099996, 0.653668899891",0.277238920934611
41,"0.2149647056665, 0.9003505290255001","0.024575216597250003, 0.6611510533145",0.30571971923392083
42,"0.221750235478, 0.9178016913175","0.025501328282799995, 0.6611821867525001",0.32305913343921455
43,"0.21056467836849999, 0.892490153613","0.04904534300093333, 0.6826742381246667",0.2647852225668719
44,"0.2042630824995, 0.8804893102555","0.06743478048585, 0.7030783821325",0.2240460257389158
45,"0.2016883300815, 0.8780360002895","0.0649259555801, 0.6961868517300001",0.22753694186016535
46,"0.19614425200200003, 0.9941038522260001","0.06675409820555, 0.6951234469065",0.3257776767436369
47,"0.198118992702, 0.9304770792215","0.06734347508575, 0.6968541454244999",0.2677347777254865
48,"0.19913737854699998, 0.9024996846785001","0.06796264275236667, 0.693049405489",0.2471360571898633
49,"0.197075838121, 0.8927877359455","0.0699790618741, 0.692917998552",0.23685755731684227
50,"0.19735782067399998, 0.8866382769869999","0.069086862279, 0.690540046698",0.23432446455726613
51,"0.19681381435200002, 0.8862948522965","0.07286054123235, 0.6885043527115",0.23342128361218137
52,"0.197308694811, 0.8832791619005","0.07383341672595001, 0.6863420785475001",0.23244431397168416
53,"0.1952018065515, 0.881559259823","0.07483978739845001, 0.6882401315044999",0.22772637315081418
54,"0.194213259172, 0.8768200342924999","0.07530297864916666, 0.691972980278",0.21979101026169914
55,"0.19323663181849998, 0.882496903456","0.07551215677419999, 0.6911712819939999",0.22464315135849688
56,"0.1944689229675, 0.8791538972575","0.0745459234417, 0.693193746215",0.22127517617440612
57,"0.1942254870235, 0.881882317057","0.07552021054215, 0.6896401458145001",0.2259380336918608
58,"0.21178017946199998, 0.9138452889720001","0.07536346905095001, 0.692922576017",0.25964661364779945
59,"0.220452279, 0.9332006922289999","0.0767427803012, 0.692487688244",0.2803483017671821
60,"0.22650932807750002, 0.9367211217645","0.0773398652117, 0.689535432289",0.2887079731028389
61,"0.22723051168199998, 0.9382742978674999","0.08017686533995, 0.6880495241375",0.2902364764992891
62,"0.2264934201425, 0.9370324327224999","0.08214730266655, 0.6877804153814999",0.2880318902117245
63,"0.22930697233449998, 0.920972672606","0.08653953201995, 0.6852602333765001",0.275577386629399
64,"0.2308310735825, 0.9088012462755001","0.08680816707176665, 0.680031706435",0.27032961354360274
65,"0.2303759969125, 0.9042301837375","0.09189508427760001, 0.68001926692",0.26352893272720296
66,"0.211662116717, 0.89365767506","0.0977208985404, 0.6749467778035",0.24661114690603683
67,"0.202091801161, 0.883427056652","0.114200463374, 0.66747883993",0.23314913588388106
68,"0.1973226977695, 0.8813175851565","0.147199879656, 0.6647640490244999",0.22227849852586393
69,"0.19577369966400002, 0.882253582132",Noisy,One player's frame missing
70,"0.19664400931533335, 0.8795492516833333",Off-surface,One player's frame missing
71,"0.195440211278, 0.8835545332795001",Noisy,One player's frame missing
72,"0.19620834539050003, 0.879955202151",Noisy,One player's frame missing
73,"0.196961295503, 0.8803457196705",Noisy,One player's frame missing
74,"0.19661583536299998, 0.8822405423475",Noisy,One player's frame missing
75,"0.1972318558205, 0.880690651892",Noisy,One player's frame missing
76,"0.21298683063950002, 0.916584635779","0.1253382908055, 0.7072051781035",0.22698463347001877
77,"0.22403386082249999, 0.930631076199","0.11430554643900001, 0.681153407525",0.2725424923648757
78,"0.23085870761900001, 0.938065438921","0.1107370223825, 0.65780884837",0.30491470251748715
79,"0.23741725969233332, 0.9413265413353332","0.10279639323200002, 0.641430955683",0.32872502183479557
80,"0.222969517507, 0.9122418605470001","0.09764821143114999, 0.6359641671215",0.303372367959034
81,"0.215001355991, 0.8956707520384999","0.0943580619078, 0.632174981273",0.2898013554463649
82,"0.21166766504, 0.8880844412569999","0.09040683033585001, 0.625202825361",0.2895011813606971
83,"0.22696647374, 0.911088983937","0.08901395954750001, 0.621200502601",0.32103929320773855
84,"0.2313641430075, 0.9236893174035","0.0874005342315, 0.618240322051",0.3376753017525279
85,"0.23235405767700001, 0.931478775026","0.0831988583755, 0.6093198563755",0.35501217210784425
86,"0.232615805969, 0.9350049466005","0.0813821479601, 0.6110460308115",0.35752062658528855
87,"0.261949619457, 0.991914422386","0.0790169572345, 0.6070059347445",0.42616769324560255
88,Off-surface,"0.08096205897885, 0.6078735667605",One player's frame missing
89,Off-surface,"0.08164087395255001, 0.6109094401475",One player's frame missing
90,Off-surface,"0.115210045933, 0.6455641241529999",One player's frame missing
91,Off-surface,"0.1310337166925, 0.6684176082475",One player's frame missing
92,Off-surface,"0.12848701282250002, 0.6645749375695",One player's frame missing
93,Off-surface,"0.130586581748, 0.6670238289279999",One player's frame missing
94,Off-surface,"0.1314934543335, 0.6689287464564999",One player's frame missing
95,Off-surface,"0.132059215569, 0.6721275423290001",One player's frame missing
