Frame Number,bubblegum,mumbathon,gaze-distance_bubblegum_mumbathon
0,"0.71609750451, 0.926943162335","0.429861186553, 0.5684456449615001",0.45875014951555454
1,"0.598413658213, 0.937523370153","0.42980353245049996, 0.567904178572",0.40626065683823975
2,"0.45315165506800004, 0.94257422739","0.432126497729, 0.5709108160575",0.372257637348706
3,"0.4543219683405, 0.9439960839254999","0.4859572368743333, 0.5310318380826667",0.41417418866914885
4,"0.5024941530436667, 0.9554235713236666","0.48795401234049995, 0.5327847986925001",0.42288881260071987
5,"0.5160604067310001, 0.949875359499","0.48086902593200004, 0.5282378190955",0.4231035910507654
6,"0.5131743475825, 0.9404160362809999","0.480619580091, 0.535047941725",0.4066732164409007
7,"0.5119638926154999, 0.941921515599","0.489814062214, 0.5344329790969999",0.4080900909938356
8,"0.5111632872436667, 0.9410201729019999","0.48946990936800006, 0.529777421584",0.4118145251873163
9,"0.5112716813475, 0.9394349445925001","0.48352196894849997, 0.5343037104320001",0.4060804888573657
10,"0.509853061886, 0.9435000527195","0.483751929794, 0.5307121925080001",0.4136122418817809
11,"0.509602940718, 0.9430668445370001","0.4876449654065, 0.5374351021535",0.40622563078768753
12,"0.5096672976685, 0.9465966535125","0.48334526475850004, 0.5319376513275",0.41549360706222055
13,"0.510111793119, 0.9480567174200001","0.48645805988199997, 0.5314356544334999",0.4172919951545302
14,"0.509654141224, 0.94573013775","0.483507531054, 0.5354262363326666",0.41113615353270355
15,"0.5195693908895, 0.96075154472","0.48484744889099995, 0.531368731945",0.43078441610940144
16,"0.5214536958579999, 0.964237919517","0.49013263870199997, 0.5381865231095",0.42720112476695343
17,"0.524426364875, 0.9723729271705","0.48807256033050006, 0.5336550820375",0.44022147464997957
18,"0.524398485728, 0.973661511576","0.491372589819, 0.537813269487",0.437097700671902
19,"0.5268685139613334, 0.9755758460393333","0.48660311885933333, 0.5294359181503334",0.44795327579952154
20,"0.5268732536190001, 0.9728321102609999","0.4896506187735, 0.5310081792050001",0.44338911871923326
21,"0.529206996191, 0.9736292296085001","0.4860759295970001, 0.53426574518",0.4414754357319202
22,"0.528050438795, 0.967289033843","0.487327577514, 0.5256953637389999",0.44346738426498966
23,"0.5297058048105, 0.9696990030270001","0.506188406548, 0.52262289268",0.4476942220579132
24,"0.527629927785, 0.9677166207573334","0.5051676479330001, 0.5338043193495",0.43449331333081764
25,"0.5219922558138, 0.9698643864278","0.5022006650546665, 0.526746179801",0.44355997577433476
26,"0.43121719050799995, 0.9697262358795","0.49506730659849996, 0.5284029883355",0.44591820566955215
27,"0.428708396749, 0.962041013955","0.496443913476, 0.5358228720610001",0.4315669179928502
28,"0.427472853423, 0.9502067006825","0.495259079315, 0.527242550788",0.4283615815133966
29,"0.411367815066, 0.9337713587300001","0.4969118716825, 0.5324296342320001",0.41035711940386205
30,"0.364914661867, 0.9098539728505001","0.49795048812200005, 0.5295468656385001",0.4029044885122406
31,"0.24201821563, 0.8622417106520001","0.4991292291425, 0.541624605351",0.410976156827884
32,"0.23453216927933332, 0.8674834561533333","0.5261311370475, 0.6111179835855001",0.3882695114587145
33,"0.246527169486, 0.851024856281","0.5277816076240001, 0.6114741209405",0.3694436543973876
34,"0.251635964709, 0.848864983473","0.5287420406495, 0.6155138186865",0.3622713671136023
35,"0.254647308609, 0.8400325043210001","0.528212030231, 0.6142485530925",0.3547055815017239
36,"0.26965990502000003, 0.8555425642545","0.5284976896065, 0.6178921500275",0.351389695511852
37,"0.2804037337095, 0.8631878126774999","0.5288446254704999, 0.6152414955875001",0.3509989356928246
38,"0.283397657419, 0.8654401648260001","0.527574481511, 0.616773684512",0.3485073024420126
39,"0.2825288080685, 0.863649374925","0.5286503940405001, 0.6161513993534999",0.3490430961834992
40,"0.284610966519, 0.8587886816895","0.527082894305, 0.61531903015",0.3436133102559107
41,"0.2823425797745, 0.85877110474","0.515571321906, 0.617980138138",0.33522520154870095
42,"0.263988440706, 0.8393195951329999","0.401283349762, 0.6504526755560001",0.2334964782672326
